lemma,correct,total,accuracy
t ɾ a s p o n ˈe ɾ,660,660,100.0
d e b e n ˈi ɾ,660,660,100.0
p ɾ o p o n ˈe ɾ,660,660,100.0
d e s a p a ɾ e s ˈe ɾ,660,660,100.0
e n s e ɡ e s ˈe ɾ,660,660,100.0
ɾ e k o ç ˈe ɾ,660,660,100.0
k o m p o n ˈe ɾ,660,660,100.0
e n a ɾ d e s ˈe ɾ,660,660,100.0
i n d u s ˈi ɾ,660,660,100.0
a b e n ˈi ɾ,660,660,100.0
m a l d e s ˈi ɾ,660,660,100.0
k o ç ˈe ɾ,660,660,100.0
d e s a ɡ ɾ a d e s ˈe ɾ,660,660,100.0
ɾ e f u l ç ˈi ɾ,660,660,100.0
ɾ e k ɾ u d e s ˈe ɾ,660,660,100.0
e n f u ɾ e s ˈe ɾ,660,660,100.0
e n b a n e s ˈe ɾ,660,660,100.0
p u n ç ˈi ɾ,660,660,100.0
p a l i d e s ˈe ɾ,660,660,100.0
ɾ e k o m p o n ˈe ɾ,660,660,100.0
d e s l u s ˈi ɾ,660,660,100.0
a t a ɾ d e s ˈe ɾ,660,660,100.0
e m e ɾ ç ˈe ɾ,660,660,100.0
e n l u s ˈi ɾ,660,660,100.0
a m a n e s ˈe ɾ,660,660,100.0
k o n t e n ˈe ɾ,660,660,100.0
ɾ e t e n ˈe ɾ,660,660,100.0
k o n o s ˈe ɾ,660,660,100.0
e n ɾ i k e s ˈe ɾ,660,660,100.0
p a d e s ˈe ɾ,660,660,100.0
f u n ç ˈi ɾ,660,660,100.0
l u s ˈi ɾ,660,660,100.0
m u l ç ˈe ɾ,660,660,100.0
d e s p a ɾ e s ˈe ɾ,660,660,100.0
p ɾ o b e n ˈi ɾ,660,660,100.0
a f l i ç ˈi ɾ,659,660,99.85
b a l ˈe ɾ,658,660,99.7
u n s ˈi ɾ,658,660,99.7
s i ɾ k u n b e n ˈi ɾ,656,660,99.39
s a l ˈi ɾ,649,660,98.33
a s t ɾ i n ç ˈi ɾ,648,660,98.18
m u l s ˈe ɾ,635,660,96.21
d e d u s ˈi ɾ,633,660,95.91
ɾ e s t ɾ i n ç ˈi ɾ,629,660,95.3
ɡ w a ɾ e s ˈe ɾ,604,660,91.52
k o l e ç ˈi ɾ,594,660,90.0
a b s t ɾ a ˈe ɾ,555,660,84.09
d e s k o s ˈe ɾ,231,275,84.0
e l i ç ˈi ɾ,550,660,83.33
s o b ɾ e k o ç ˈe ɾ,532,660,80.61
x a k ˈi ɾ,470,660,71.21
k o n t ɾ a d e s ˈi ɾ,470,660,71.21
k o r e ç ˈi ɾ,443,660,67.12
a d ʃ a s ˈe ɾ,248,660,37.58
d e s f a b o ɾ e s ˈe ɾ,240,660,36.36
e n m o e s ˈe ɾ,228,660,34.55
k o n b e n s ˈe ɾ,3,660,0.45
e n n e ɡ ɾ e s ˈe ɾ,0,660,0.0
d e s b a n e s ˈe ɾ,0,660,0.0
