lemma,correct,total,accuracy
e n b e x e s ˈe ɾ,616,660,93.33
e n ɾ o x e s ˈe ɾ,616,660,93.33
k o m p a ɾ e s ˈe ɾ,541,660,81.97
a n o ʧ e s ˈe ɾ,540,660,81.82
b a l b u s ˈi ɾ,524,660,79.39
p ɾ o d u s ˈi ɾ,515,660,78.03
a b o r e s ˈe ɾ,492,660,74.55
ɾ e a p a ɾ e s ˈe ɾ,477,660,72.27
a p a ɾ e s ˈe ɾ,477,660,72.27
e n k a ɾ e s ˈe ɾ,476,660,72.12
p ɾ e b a l e s ˈe ɾ,474,660,71.82
e n o ɾ ɡ u ʃ e s ˈe ɾ,467,660,70.76
e n t e ɾ n e s ˈe ɾ,463,660,70.15
e m b e ʃ e s ˈe ɾ,438,660,66.36
d e p o n ˈe ɾ,404,660,61.21
f u l ç ˈi ɾ,385,660,58.33
a s t ɾ i n ç ˈi ɾ,380,660,57.58
ɾ e b e n ˈi ɾ,359,660,54.39
f ɾ a n ç ˈi ɾ,344,660,52.12
e n f l a k e s ˈe ɾ,342,660,51.82
e k i b a l ˈe ɾ,332,660,50.3
e s t a b l e s ˈe ɾ,299,660,45.3
a n t e d e s ˈi ɾ,280,660,42.42
d e s k o m p o n ˈe ɾ,260,660,39.39
k a ˈe ɾ,226,660,34.24
t ɾ a ˈe ɾ,223,660,33.79
d e s a s ˈe ɾ,209,660,31.67
ɾ e t o ɾ s ˈe ɾ,139,660,21.06
k o n t ɾ a a s ˈe ɾ,134,660,20.3
d i s t ɾ a ˈe ɾ,125,660,18.94
e m p o d ɾ e s ˈe ɾ,65,660,9.85
ɾ e b l a n d e s ˈe ɾ,0,660,0.0
e n m o e s ˈe ɾ,0,660,0.0
