lemma,correct,total,accuracy
s u ɾ s ˈi ɾ,655,660,99.24
k o d i ɾ i ç ˈi ɾ,572,660,86.67
e n b i l e s ˈe ɾ,565,660,85.61
u n s ˈi ɾ,551,660,83.48
a m a n e s ˈe ɾ,550,660,83.33
k a ɾ e s ˈe ɾ,548,660,83.03
f e n e s ˈe ɾ,531,660,80.45
e n f l a k e s ˈe ɾ,522,660,79.09
p a d e s ˈe ɾ,514,660,77.88
f a b o ɾ e s ˈe ɾ,514,660,77.88
ɾ e l u s ˈi ɾ,495,660,75.0
ɾ e k o n d u s ˈi ɾ,491,660,74.39
e k s t ɾ a ˈe ɾ,465,660,70.45
ɾ e s u ɾ ç ˈi ɾ,457,660,69.24
d e s p a ɾ e s ˈe ɾ,446,660,67.58
k o l e ç ˈi ɾ,439,660,66.52
e n s o m b ɾ e s ˈe ɾ,433,660,65.61
d e t ɾ a ˈe ɾ,406,660,61.52
f u n ç ˈi ɾ,400,660,60.61
e x e ɾ s ˈe ɾ,374,660,56.67
k o n d e s ˈi ɾ,368,660,55.76
a t ɾ a ˈe ɾ,365,660,55.3
p ɾ e s u p o n ˈe ɾ,363,660,55.0
f ɾ a n ç ˈi ɾ,352,660,53.33
e s k a ɾ n e s ˈe ɾ,329,660,49.85
e s p a ɾ s ˈi ɾ,321,660,48.64
ɾ e d e s ˈi ɾ,289,660,43.79
d e s a s ˈe ɾ,232,660,35.15
e k i b a l ˈe ɾ,162,660,24.55
o b t e n ˈe ɾ,51,660,7.73
e n t e ɾ n e s ˈe ɾ,17,660,2.58
k o n t ɾ a a s ˈe ɾ,0,660,0.0
p e ɾ m a n e s ˈe ɾ,0,660,0.0
