lemma,correct,total,accuracy
ɾ o b u s t e s ˈe ɾ,660,660,100.0
ɡ w a ɾ e s ˈe ɾ,660,660,100.0
o b s k u ɾ e s ˈe ɾ,660,660,100.0
f l o ɾ e s ˈe ɾ,660,660,100.0
p e ɾ m a n e s ˈe ɾ,657,660,99.55
a m a n e s ˈe ɾ,656,660,99.39
e n k a ɾ e s ˈe ɾ,655,660,99.24
a p a ɾ e s ˈe ɾ,653,660,98.94
e n m u d e s ˈe ɾ,651,660,98.64
e n b e x e s ˈe ɾ,645,660,97.73
e n s o m b ɾ e s ˈe ɾ,641,660,97.12
ɾ e s t a b l e s ˈe ɾ,639,660,96.82
f a ʃ e s ˈe ɾ,637,660,96.52
d e s a ɡ ɾ a d e s ˈe ɾ,598,660,90.61
d e s a s ˈe ɾ,199,220,90.45
e n o ɾ ɡ u ʃ e s ˈe ɾ,596,660,90.3
d e d u s ˈi ɾ,586,660,88.79
l a n ɡ i d e s ˈe ɾ,576,660,87.27
d e s k o m p o n ˈe ɾ,569,660,86.21
k o p ɾ o d u s ˈi ɾ,539,660,81.67
i n t e ɾ p o n ˈe ɾ,501,660,75.91
a d u s ˈi ɾ,485,660,73.48
a r e s ˈi ɾ,479,660,72.58
m a n t e n ˈe ɾ,464,660,70.3
d e s a s ˈi ɾ,309,440,70.23
k o m p u n ç ˈi ɾ,408,660,61.82
e l i ç ˈi ɾ,385,660,58.33
m u l ç ˈe ɾ,385,660,58.33
k o n f l i ç ˈi ɾ,381,660,57.73
k o n b e n s ˈe ɾ,227,660,34.39
ɾ e d e s ˈi ɾ,222,660,33.64
m a l d e s ˈi ɾ,183,660,27.73
a k a e s ˈe ɾ,175,660,26.52
s u b ʃ a s ˈe ɾ,1,660,0.15
