lemma,correct,total,accuracy
e n b e x e s ˈe ɾ,652,660,98.79
a m a n e s ˈe ɾ,646,660,97.88
p e ɾ m a n e s ˈe ɾ,615,660,93.18
f l o ɾ e s ˈe ɾ,611,660,92.58
ɡ w a ɾ e s ˈe ɾ,611,660,92.58
f a ʃ e s ˈe ɾ,609,660,92.27
e n k a ɾ e s ˈe ɾ,604,660,91.52
o b s k u ɾ e s ˈe ɾ,603,660,91.36
a p a ɾ e s ˈe ɾ,593,660,89.85
e n m u d e s ˈe ɾ,586,660,88.79
l a n ɡ i d e s ˈe ɾ,578,660,87.58
d e s a s ˈe ɾ,185,220,84.09
d e s a ɡ ɾ a d e s ˈe ɾ,553,660,83.79
ɾ o b u s t e s ˈe ɾ,545,660,82.58
e n s o m b ɾ e s ˈe ɾ,541,660,81.97
ɾ e s t a b l e s ˈe ɾ,528,660,80.0
a r e s ˈi ɾ,522,660,79.09
d e d u s ˈi ɾ,520,660,78.79
s u b ʃ a s ˈe ɾ,519,660,78.64
k o p ɾ o d u s ˈi ɾ,495,660,75.0
a d u s ˈi ɾ,469,660,71.06
e n o ɾ ɡ u ʃ e s ˈe ɾ,456,660,69.09
d e s a s ˈi ɾ,273,440,62.05
e l i ç ˈi ɾ,385,660,58.33
k o m p u n ç ˈi ɾ,385,660,58.33
m u l ç ˈe ɾ,385,660,58.33
m a n t e n ˈe ɾ,383,660,58.03
k o n f l i ç ˈi ɾ,353,660,53.48
a k a e s ˈe ɾ,295,660,44.7
d e s k o m p o n ˈe ɾ,265,660,40.15
ɾ e d e s ˈi ɾ,238,660,36.06
m a l d e s ˈi ɾ,220,660,33.33
i n t e ɾ p o n ˈe ɾ,205,660,31.06
k o n b e n s ˈe ɾ,157,660,23.79
