lemma,correct,total,accuracy
e n ɾ o x e s ˈe ɾ,601,660,91.06
b a l b u s ˈi ɾ,591,660,89.55
p ɾ o d u s ˈi ɾ,587,660,88.94
a b o r e s ˈe ɾ,562,660,85.15
a p a ɾ e s ˈe ɾ,529,660,80.15
a n o ʧ e s ˈe ɾ,526,660,79.7
e n b e x e s ˈe ɾ,498,660,75.45
a s t ɾ i n ç ˈi ɾ,478,660,72.42
f u l ç ˈi ɾ,458,660,69.39
f ɾ a n ç ˈi ɾ,444,660,67.27
p ɾ e b a l e s ˈe ɾ,422,660,63.94
d e p o n ˈe ɾ,422,660,63.94
k o m p a ɾ e s ˈe ɾ,416,660,63.03
e n f l a k e s ˈe ɾ,415,660,62.88
e s t a b l e s ˈe ɾ,410,660,62.12
e n k a ɾ e s ˈe ɾ,402,660,60.91
e k i b a l ˈe ɾ,394,660,59.7
ɾ e b e n ˈi ɾ,393,660,59.55
e m b e ʃ e s ˈe ɾ,386,660,58.48
d e s k o m p o n ˈe ɾ,375,660,56.82
ɾ e b l a n d e s ˈe ɾ,348,660,52.73
e n o ɾ ɡ u ʃ e s ˈe ɾ,327,660,49.55
ɾ e a p a ɾ e s ˈe ɾ,293,660,44.39
e n t e ɾ n e s ˈe ɾ,286,660,43.33
d e s a s ˈe ɾ,266,660,40.3
a n t e d e s ˈi ɾ,215,660,32.58
t ɾ a ˈe ɾ,200,660,30.3
ɾ e t o ɾ s ˈe ɾ,171,660,25.91
k a ˈe ɾ,162,660,24.55
d i s t ɾ a ˈe ɾ,118,660,17.88
k o n t ɾ a a s ˈe ɾ,38,660,5.76
e m p o d ɾ e s ˈe ɾ,0,660,0.0
e n m o e s ˈe ɾ,0,660,0.0
