lemma,correct,total,accuracy
p e ɾ m a n e s ˈe ɾ,660,660,100.0
f a b o ɾ e s ˈe ɾ,660,660,100.0
e k s t ɾ a ˈe ɾ,660,660,100.0
a m a n e s ˈe ɾ,660,660,100.0
e n f l a k e s ˈe ɾ,660,660,100.0
e s k a ɾ n e s ˈe ɾ,660,660,100.0
e n b i l e s ˈe ɾ,660,660,100.0
e n s o m b ɾ e s ˈe ɾ,660,660,100.0
f u n ç ˈi ɾ,660,660,100.0
f e n e s ˈe ɾ,660,660,100.0
k o n d e s ˈi ɾ,660,660,100.0
ɾ e l u s ˈi ɾ,660,660,100.0
e n t e ɾ n e s ˈe ɾ,660,660,100.0
p a d e s ˈe ɾ,660,660,100.0
k a ɾ e s ˈe ɾ,660,660,100.0
ɾ e s u ɾ ç ˈi ɾ,660,660,100.0
p ɾ e s u p o n ˈe ɾ,660,660,100.0
d e s p a ɾ e s ˈe ɾ,660,660,100.0
ɾ e d e s ˈi ɾ,659,660,99.85
ɾ e k o n d u s ˈi ɾ,659,660,99.85
d e t ɾ a ˈe ɾ,656,660,99.39
a t ɾ a ˈe ɾ,654,660,99.09
f ɾ a n ç ˈi ɾ,648,660,98.18
e s p a ɾ s ˈi ɾ,612,660,92.73
s u ɾ s ˈi ɾ,584,660,88.48
e k i b a l ˈe ɾ,561,660,85.0
k o l e ç ˈi ɾ,561,660,85.0
u n s ˈi ɾ,440,660,66.67
o b t e n ˈe ɾ,390,660,59.09
k o d i ɾ i ç ˈi ɾ,371,660,56.21
d e s a s ˈe ɾ,76,660,11.52
e x e ɾ s ˈe ɾ,11,660,1.67
k o n t ɾ a a s ˈe ɾ,0,660,0.0
