lemma,correct,total,accuracy
a p a ɾ e s ˈe ɾ,659,660,99.85
a n o ʧ e s ˈe ɾ,659,660,99.85
e n k a ɾ e s ˈe ɾ,659,660,99.85
a b o r e s ˈe ɾ,653,660,98.94
p ɾ o d u s ˈi ɾ,651,660,98.64
e n ɾ o x e s ˈe ɾ,645,660,97.73
ɾ e a p a ɾ e s ˈe ɾ,643,660,97.42
b a l b u s ˈi ɾ,642,660,97.27
p ɾ e b a l e s ˈe ɾ,639,660,96.82
e n o ɾ ɡ u ʃ e s ˈe ɾ,596,660,90.3
e n f l a k e s ˈe ɾ,594,660,90.0
k o m p a ɾ e s ˈe ɾ,584,660,88.48
e n t e ɾ n e s ˈe ɾ,580,660,87.88
e s t a b l e s ˈe ɾ,568,660,86.06
e n b e x e s ˈe ɾ,558,660,84.55
e m b e ʃ e s ˈe ɾ,534,660,80.91
e k i b a l ˈe ɾ,471,660,71.36
d e p o n ˈe ɾ,457,660,69.24
d e s k o m p o n ˈe ɾ,454,660,68.79
ɾ e b e n ˈi ɾ,405,660,61.36
a s t ɾ i n ç ˈi ɾ,385,660,58.33
f u l ç ˈi ɾ,380,660,57.58
f ɾ a n ç ˈi ɾ,369,660,55.91
d e s a s ˈe ɾ,250,660,37.88
t ɾ a ˈe ɾ,246,660,37.27
a n t e d e s ˈi ɾ,245,660,37.12
k a ˈe ɾ,230,660,34.85
ɾ e t o ɾ s ˈe ɾ,217,660,32.88
d i s t ɾ a ˈe ɾ,148,660,22.42
e n m o e s ˈe ɾ,120,660,18.18
k o n t ɾ a a s ˈe ɾ,4,660,0.61
ɾ e b l a n d e s ˈe ɾ,2,660,0.3
e m p o d ɾ e s ˈe ɾ,0,660,0.0
