target_tag,correct,total,accuracy
V;IND;PRS;2;PL,2654,3630,73.11
V;SBJV;PRS;1;PL,2602,3630,71.68
V;IND;PRS;1;PL,2587,3630,71.27
V;IND;PRS;3;SG,2579,3630,71.05
V;IND;PRS;2;SG,2556,3630,70.41
V;SBJV;PRS;2;PL,2549,3630,70.22
V;IND;PRS;3;PL,2530,3630,69.7
V;IND;PRS;1;SG,2431,3630,66.97
V;SBJV;PRS;1;SG,2411,3630,66.42
V;SBJV;PRS;3;PL,2402,3630,66.17
V;SBJV;PRS;3;SG,2401,3630,66.14
V;SBJV;PRS;2;SG,2398,3630,66.06
