target_tag,correct,total,accuracy
V;SBJV;PRS;3;PL,2956,3630,81.43
V;SBJV;PRS;2;PL,2938,3630,80.94
V;SBJV;PRS;1;SG,2914,3630,80.28
V;SBJV;PRS;1;PL,2911,3630,80.19
V;SBJV;PRS;3;SG,2909,3630,80.14
V;IND;PRS;3;SG,2901,3630,79.92
V;IND;PRS;3;PL,2898,3630,79.83
V;IND;PRS;1;SG,2898,3630,79.83
V;SBJV;PRS;2;SG,2887,3630,79.53
V;IND;PRS;2;SG,2885,3630,79.48
V;IND;PRS;2;PL,2877,3630,79.26
V;IND;PRS;1;PL,2869,3630,79.04
