lemma,correct,total,accuracy
e n k a ɾ e s ˈe ɾ,611,660,92.58
f l o ɾ e s ˈe ɾ,608,660,92.12
a p a ɾ e s ˈe ɾ,597,660,90.45
e n b e x e s ˈe ɾ,592,660,89.7
ɾ e s t a b l e s ˈe ɾ,589,660,89.24
o b s k u ɾ e s ˈe ɾ,588,660,89.09
f a ʃ e s ˈe ɾ,565,660,85.61
e n s o m b ɾ e s ˈe ɾ,553,660,83.79
ɾ o b u s t e s ˈe ɾ,550,660,83.33
e n m u d e s ˈe ɾ,550,660,83.33
d e s a s ˈe ɾ,171,220,77.73
d e d u s ˈi ɾ,510,660,77.27
a r e s ˈi ɾ,507,660,76.82
k o p ɾ o d u s ˈi ɾ,498,660,75.45
i n t e ɾ p o n ˈe ɾ,494,660,74.85
a d u s ˈi ɾ,442,660,66.97
p e ɾ m a n e s ˈe ɾ,428,660,64.85
k o n f l i ç ˈi ɾ,388,660,58.79
e l i ç ˈi ɾ,386,660,58.48
m u l ç ˈe ɾ,386,660,58.48
k o m p u n ç ˈi ɾ,384,660,58.18
m a n t e n ˈe ɾ,374,660,56.67
d e s a ɡ ɾ a d e s ˈe ɾ,345,660,52.27
a m a n e s ˈe ɾ,329,660,49.85
a k a e s ˈe ɾ,319,660,48.33
k o n b e n s ˈe ɾ,282,660,42.73
e n o ɾ ɡ u ʃ e s ˈe ɾ,281,660,42.58
ɾ e d e s ˈi ɾ,271,660,41.06
ɡ w a ɾ e s ˈe ɾ,245,660,37.12
d e s a s ˈi ɾ,131,440,29.77
d e s k o m p o n ˈe ɾ,191,660,28.94
m a l d e s ˈi ɾ,185,660,28.03
s u b ʃ a s ˈe ɾ,138,660,20.91
l a n ɡ i d e s ˈe ɾ,130,660,19.7
