lemma,correct,total,accuracy
d e s p a ɾ e s ˈe ɾ,660,660,100.0
f e n e s ˈe ɾ,660,660,100.0
ɾ e d e s ˈi ɾ,660,660,100.0
k a ɾ e s ˈe ɾ,660,660,100.0
e s k a ɾ n e s ˈe ɾ,660,660,100.0
p a d e s ˈe ɾ,660,660,100.0
e n t e ɾ n e s ˈe ɾ,660,660,100.0
e n b i l e s ˈe ɾ,660,660,100.0
a m a n e s ˈe ɾ,659,660,99.85
e n f l a k e s ˈe ɾ,659,660,99.85
p e ɾ m a n e s ˈe ɾ,659,660,99.85
p ɾ e s u p o n ˈe ɾ,659,660,99.85
e n s o m b ɾ e s ˈe ɾ,658,660,99.7
k o l e ç ˈi ɾ,658,660,99.7
ɾ e k o n d u s ˈi ɾ,658,660,99.7
k o n d e s ˈi ɾ,658,660,99.7
f a b o ɾ e s ˈe ɾ,657,660,99.55
f u n ç ˈi ɾ,657,660,99.55
ɾ e s u ɾ ç ˈi ɾ,657,660,99.55
ɾ e l u s ˈi ɾ,656,660,99.39
d e t ɾ a ˈe ɾ,652,660,98.79
s u ɾ s ˈi ɾ,637,660,96.52
a t ɾ a ˈe ɾ,636,660,96.36
e k s t ɾ a ˈe ɾ,606,660,91.82
u n s ˈi ɾ,579,660,87.73
e k i b a l ˈe ɾ,567,660,85.91
o b t e n ˈe ɾ,553,660,83.79
e s p a ɾ s ˈi ɾ,543,660,82.27
f ɾ a n ç ˈi ɾ,515,660,78.03
e x e ɾ s ˈe ɾ,436,660,66.06
k o d i ɾ i ç ˈi ɾ,311,660,47.12
d e s a s ˈe ɾ,227,660,34.39
k o n t ɾ a a s ˈe ɾ,0,660,0.0
