lemma,correct,total,accuracy,overall_accuracy
i n t e l i ç ˈi ɾ,4867,5280,92.1775,92.18
a m a n e s ˈe ɾ,9729,10560,92.130625,92.13
d e s t o ɾ s ˈe ɾ,4834,5280,91.55375000000001,91.55
e n f l a k e s ˈe ɾ,4800,5280,90.91,90.91
p a l i d e s ˈe ɾ,7166,7920,90.48,90.48
s a l ˈi ɾ,2384,2640,90.30250000000001,90.3
a n o ʧ e s ˈe ɾ,2379,2640,90.1125,90.11
f l o ɾ e s ˈe ɾ,4756,5280,90.07625,90.08
e n m u d e s ˈe ɾ,2368,2640,89.695,89.7
k o m p u n ç ˈi ɾ,4729,5280,89.56375,89.56
a b e n ˈi ɾ,2364,2640,89.545,89.55
u n s ˈi ɾ,4705,5280,89.11125,89.11
a s t ɾ i n ç ˈi ɾ,4692,5280,88.865,88.86
a r e s ˈi ɾ,2343,2640,88.75,88.75
ɾ e s u ɾ ç ˈi ɾ,2337,2640,88.525,88.52
e ɾ i ç ˈi ɾ,2332,2640,88.3325,88.33
ɾ e b e n ˈi ɾ,4664,5280,88.33375,88.33
k o d i ɾ i ç ˈi ɾ,4652,5280,88.10625,88.11
i n t e ɾ p o n ˈe ɾ,2303,2640,87.235,87.23
m u l s ˈe ɾ,4602,5280,87.16,87.16
k o m p a ɾ e s ˈe ɾ,2299,2640,87.0825,87.08
e s t a b l e s ˈe ɾ,2298,2640,87.0475,87.05
b a l ˈe ɾ,2281,2640,86.4025,86.4
e m b e ʃ e s ˈe ɾ,4557,5280,86.3075,86.31
e n ɾ i k e s ˈe ɾ,4540,5280,85.985,85.98
a t ɾ a ˈe ɾ,2267,2640,85.87,85.87
ɾ e l u s ˈi ɾ,2266,2640,85.8325,85.83
p ɾ o d u s ˈi ɾ,2263,2640,85.72,85.72
e s k o s ˈe ɾ,2261,2640,85.64500000000001,85.64
t ɾ a ˈe ɾ,4507,5280,85.36125,85.36
k o l e ç ˈi ɾ,4485,5280,84.94375,84.94
ɾ e a s ˈe ɾ,2234,2640,84.62,84.62
ɾ e d e s ˈi ɾ,8911,10560,84.38375,84.38
f ɾ a n ç ˈi ɾ,6669,7920,84.205,84.2
o f ɾ e s ˈe ɾ,4435,5280,83.995,84.0
a d u s ˈi ɾ,2212,2640,83.78999999999999,83.79
e n b e x e s ˈe ɾ,4359,5280,82.55625,82.56
p ɾ e b a l e s ˈe ɾ,2170,2640,82.195,82.2
d e b e n ˈi ɾ,6481,7920,81.83083333333333,81.83
e l i ç ˈi ɾ,6392,7920,80.70416666666667,80.71
k o n o s ˈe ɾ,4259,5280,80.6625,80.66
k o n t ɾ a d e s ˈi ɾ,2123,2640,80.41499999999999,80.42
k o n f l i ç ˈi ɾ,2095,2640,79.3575,79.36
