model,condition,run,lemma,correct,total,accuracy
10L_90NL_3_4,10L_90NL,3,m a l d e s ˈi ɾ,224,660,33.94
10L_90NL_3_1,10L_90NL,3,m u l s ˈe ɾ,638,660,96.67
10L_90NL_3_2,10L_90NL,3,m u l s ˈe ɾ,582,660,88.18
10L_90NL_3_3,10L_90NL,3,m u l s ˈe ɾ,594,660,90.0
10L_90NL_3_4,10L_90NL,3,m u l s ˈe ɾ,660,660,100.0
10L_90NL_3_1,10L_90NL,3,p a l i d e s ˈe ɾ,660,660,100.0
10L_90NL_3_2,10L_90NL,3,p a l i d e s ˈe ɾ,295,660,44.7
10L_90NL_3_3,10L_90NL,3,p a l i d e s ˈe ɾ,305,660,46.21
10L_90NL_3_4,10L_90NL,3,p a l i d e s ˈe ɾ,626,660,94.85
10L_90NL_3_1,10L_90NL,3,ɾ e a b a s t e s ˈe ɾ,634,660,96.06
10L_90NL_3_2,10L_90NL,3,ɾ e a b a s t e s ˈe ɾ,151,660,22.88
10L_90NL_3_3,10L_90NL,3,ɾ e a b a s t e s ˈe ɾ,93,660,14.09
10L_90NL_3_4,10L_90NL,3,ɾ e a b a s t e s ˈe ɾ,480,660,72.73
50L_50NL_1_1,50L_50NL,1,a b o r e s ˈe ɾ,660,660,100.0
50L_50NL_1_2,50L_50NL,1,a b o r e s ˈe ɾ,481,660,72.88
50L_50NL_1_3,50L_50NL,1,a b o r e s ˈe ɾ,533,660,80.76
50L_50NL_1_4,50L_50NL,1,a b o r e s ˈe ɾ,660,660,100.0
50L_50NL_1_1,50L_50NL,1,a n o ʧ e s ˈe ɾ,660,660,100.0
50L_50NL_1_2,50L_50NL,1,a n o ʧ e s ˈe ɾ,511,660,77.42
50L_50NL_1_3,50L_50NL,1,a n o ʧ e s ˈe ɾ,548,660,83.03
50L_50NL_1_4,50L_50NL,1,a n o ʧ e s ˈe ɾ,660,660,100.0
50L_50NL_1_1,50L_50NL,1,a n t e d e s ˈi ɾ,594,660,90.0
50L_50NL_1_2,50L_50NL,1,a n t e d e s ˈi ɾ,367,660,55.61
50L_50NL_1_3,50L_50NL,1,a n t e d e s ˈi ɾ,329,660,49.85
50L_50NL_1_4,50L_50NL,1,a n t e d e s ˈi ɾ,660,660,100.0
50L_50NL_1_1,50L_50NL,1,a p a ɾ e s ˈe ɾ,660,660,100.0
50L_50NL_1_2,50L_50NL,1,a p a ɾ e s ˈe ɾ,501,660,75.91
50L_50NL_1_3,50L_50NL,1,a p a ɾ e s ˈe ɾ,545,660,82.58
50L_50NL_1_4,50L_50NL,1,a p a ɾ e s ˈe ɾ,660,660,100.0
50L_50NL_1_1,50L_50NL,1,a s t ɾ i n ç ˈi ɾ,660,660,100.0
50L_50NL_1_2,50L_50NL,1,a s t ɾ i n ç ˈi ɾ,420,660,63.64
50L_50NL_1_3,50L_50NL,1,a s t ɾ i n ç ˈi ɾ,362,660,54.85
50L_50NL_1_4,50L_50NL,1,a s t ɾ i n ç ˈi ɾ,660,660,100.0
50L_50NL_1_1,50L_50NL,1,b a l b u s ˈi ɾ,0,660,0.0
50L_50NL_1_2,50L_50NL,1,b a l b u s ˈi ɾ,495,660,75.0
50L_50NL_1_3,50L_50NL,1,b a l b u s ˈi ɾ,422,660,63.94
50L_50NL_1_4,50L_50NL,1,b a l b u s ˈi ɾ,658,660,99.7
50L_50NL_1_1,50L_50NL,1,d e p o n ˈe ɾ,660,660,100.0
50L_50NL_1_2,50L_50NL,1,d e p o n ˈe ɾ,368,660,55.76
50L_50NL_1_3,50L_50NL,1,d e p o n ˈe ɾ,332,660,50.3
50L_50NL_1_4,50L_50NL,1,d e p o n ˈe ɾ,660,660,100.0
50L_50NL_1_1,50L_50NL,1,d e s a s ˈe ɾ,272,660,41.21
50L_50NL_1_2,50L_50NL,1,d e s a s ˈe ɾ,364,660,55.15
50L_50NL_1_3,50L_50NL,1,d e s a s ˈe ɾ,313,660,47.42
50L_50NL_1_4,50L_50NL,1,d e s a s ˈe ɾ,331,660,50.15
50L_50NL_1_1,50L_50NL,1,d e s k o m p o n ˈe ɾ,660,660,100.0
50L_50NL_1_2,50L_50NL,1,d e s k o m p o n ˈe ɾ,392,660,59.39
50L_50NL_1_3,50L_50NL,1,d e s k o m p o n ˈe ɾ,400,660,60.61
50L_50NL_1_4,50L_50NL,1,d e s k o m p o n ˈe ɾ,660,660,100.0
50L_50NL_1_1,50L_50NL,1,d i s t ɾ a ˈe ɾ,660,660,100.0
50L_50NL_1_2,50L_50NL,1,d i s t ɾ a ˈe ɾ,326,660,49.39
50L_50NL_1_3,50L_50NL,1,d i s t ɾ a ˈe ɾ,318,660,48.18
50L_50NL_1_4,50L_50NL,1,d i s t ɾ a ˈe ɾ,647,660,98.03
50L_50NL_1_1,50L_50NL,1,e k i b a l ˈe ɾ,357,660,54.09
50L_50NL_1_2,50L_50NL,1,e k i b a l ˈe ɾ,388,660,58.79
50L_50NL_1_3,50L_50NL,1,e k i b a l ˈe ɾ,434,660,65.76
50L_50NL_1_4,50L_50NL,1,e k i b a l ˈe ɾ,660,660,100.0
50L_50NL_1_1,50L_50NL,1,e m b e ʃ e s ˈe ɾ,660,660,100.0
50L_50NL_1_2,50L_50NL,1,e m b e ʃ e s ˈe ɾ,361,660,54.7
50L_50NL_1_3,50L_50NL,1,e m b e ʃ e s ˈe ɾ,237,660,35.91
50L_50NL_1_4,50L_50NL,1,e m b e ʃ e s ˈe ɾ,659,660,99.85
50L_50NL_1_1,50L_50NL,1,e m p o d ɾ e s ˈe ɾ,389,660,58.94
50L_50NL_1_2,50L_50NL,1,e m p o d ɾ e s ˈe ɾ,236,660,35.76
50L_50NL_1_3,50L_50NL,1,e m p o d ɾ e s ˈe ɾ,30,660,4.55
50L_50NL_1_4,50L_50NL,1,e m p o d ɾ e s ˈe ɾ,660,660,100.0
50L_50NL_1_1,50L_50NL,1,e n b e x e s ˈe ɾ,398,660,60.3
50L_50NL_1_2,50L_50NL,1,e n b e x e s ˈe ɾ,488,660,73.94
50L_50NL_1_3,50L_50NL,1,e n b e x e s ˈe ɾ,464,660,70.3
50L_50NL_1_4,50L_50NL,1,e n b e x e s ˈe ɾ,660,660,100.0
50L_50NL_1_1,50L_50NL,1,e n f l a k e s ˈe ɾ,660,660,100.0
