lemma,correct,total,accuracy
e s p a ɾ s ˈi ɾ,595,660,90.15
e s k a ɾ n e s ˈe ɾ,583,660,88.33
e n f l a k e s ˈe ɾ,578,660,87.58
f a b o ɾ e s ˈe ɾ,575,660,87.12
u n s ˈi ɾ,568,660,86.06
e n b i l e s ˈe ɾ,566,660,85.76
d e s p a ɾ e s ˈe ɾ,559,660,84.7
p ɾ e s u p o n ˈe ɾ,517,660,78.33
a m a n e s ˈe ɾ,515,660,78.03
e n s o m b ɾ e s ˈe ɾ,510,660,77.27
ɾ e k o n d u s ˈi ɾ,509,660,77.12
e n t e ɾ n e s ˈe ɾ,500,660,75.76
f e n e s ˈe ɾ,488,660,73.94
s u ɾ s ˈi ɾ,471,660,71.36
k a ɾ e s ˈe ɾ,463,660,70.15
p a d e s ˈe ɾ,459,660,69.55
f u n ç ˈi ɾ,392,660,59.39
ɾ e l u s ˈi ɾ,387,660,58.64
k o d i ɾ i ç ˈi ɾ,381,660,57.73
f ɾ a n ç ˈi ɾ,367,660,55.61
k o l e ç ˈi ɾ,364,660,55.15
o b t e n ˈe ɾ,363,660,55.0
ɾ e s u ɾ ç ˈi ɾ,360,660,54.55
e k i b a l ˈe ɾ,350,660,53.03
e k s t ɾ a ˈe ɾ,350,660,53.03
d e t ɾ a ˈe ɾ,340,660,51.52
k o n d e s ˈi ɾ,318,660,48.18
a t ɾ a ˈe ɾ,315,660,47.73
d e s a s ˈe ɾ,305,660,46.21
ɾ e d e s ˈi ɾ,303,660,45.91
e x e ɾ s ˈe ɾ,168,660,25.45
p e ɾ m a n e s ˈe ɾ,66,660,10.0
k o n t ɾ a a s ˈe ɾ,0,660,0.0
