lemma,correct,total,accuracy
ɾ e a p a ɾ e s ˈe ɾ,565,660,85.61
a n o ʧ e s ˈe ɾ,548,660,83.03
a p a ɾ e s ˈe ɾ,545,660,82.58
e n k a ɾ e s ˈe ɾ,543,660,82.27
e n ɾ o x e s ˈe ɾ,535,660,81.06
a b o r e s ˈe ɾ,533,660,80.76
k o m p a ɾ e s ˈe ɾ,515,660,78.03
e s t a b l e s ˈe ɾ,513,660,77.73
e n b e x e s ˈe ɾ,464,660,70.3
p ɾ o d u s ˈi ɾ,463,660,70.15
e k i b a l ˈe ɾ,434,660,65.76
b a l b u s ˈi ɾ,422,660,63.94
p ɾ e b a l e s ˈe ɾ,418,660,63.33
d e s k o m p o n ˈe ɾ,400,660,60.61
e n t e ɾ n e s ˈe ɾ,400,660,60.61
e n f l a k e s ˈe ɾ,385,660,58.33
ɾ e b e n ˈi ɾ,380,660,57.58
f u l ç ˈi ɾ,378,660,57.27
ɾ e b l a n d e s ˈe ɾ,373,660,56.52
a s t ɾ i n ç ˈi ɾ,362,660,54.85
d e p o n ˈe ɾ,332,660,50.3
a n t e d e s ˈi ɾ,329,660,49.85
d i s t ɾ a ˈe ɾ,318,660,48.18
f ɾ a n ç ˈi ɾ,317,660,48.03
d e s a s ˈe ɾ,313,660,47.42
k o n t ɾ a a s ˈe ɾ,271,660,41.06
k a ˈe ɾ,253,660,38.33
t ɾ a ˈe ɾ,248,660,37.58
e m b e ʃ e s ˈe ɾ,237,660,35.91
ɾ e t o ɾ s ˈe ɾ,207,660,31.36
e n m o e s ˈe ɾ,76,660,11.52
e m p o d ɾ e s ˈe ɾ,30,660,4.55
e n o ɾ ɡ u ʃ e s ˈe ɾ,4,660,0.61
