lemma,correct,total,accuracy
e n k a ɾ e s ˈe ɾ,608,660,92.12
f l o ɾ e s ˈe ɾ,605,660,91.67
o b s k u ɾ e s ˈe ɾ,595,660,90.15
a p a ɾ e s ˈe ɾ,591,660,89.55
k o p ɾ o d u s ˈi ɾ,584,660,88.48
f a ʃ e s ˈe ɾ,582,660,88.18
ɾ o b u s t e s ˈe ɾ,572,660,86.67
ɾ e s t a b l e s ˈe ɾ,570,660,86.36
d e s a s ˈe ɾ,185,220,84.09
d e d u s ˈi ɾ,540,660,81.82
e n s o m b ɾ e s ˈe ɾ,531,660,80.45
a r e s ˈi ɾ,516,660,78.18
e n m u d e s ˈe ɾ,498,660,75.45
i n t e ɾ p o n ˈe ɾ,489,660,74.09
ɡ w a ɾ e s ˈe ɾ,465,660,70.45
a d u s ˈi ɾ,453,660,68.64
e n b e x e s ˈe ɾ,437,660,66.21
m u l ç ˈe ɾ,388,660,58.79
k o n f l i ç ˈi ɾ,387,660,58.64
e l i ç ˈi ɾ,386,660,58.48
k o m p u n ç ˈi ɾ,385,660,58.33
d e s a ɡ ɾ a d e s ˈe ɾ,354,660,53.64
m a n t e n ˈe ɾ,345,660,52.27
p e ɾ m a n e s ˈe ɾ,332,660,50.3
a m a n e s ˈe ɾ,306,660,46.36
ɾ e d e s ˈi ɾ,292,660,44.24
a k a e s ˈe ɾ,259,660,39.24
d e s k o m p o n ˈe ɾ,196,660,29.7
m a l d e s ˈi ɾ,195,660,29.55
k o n b e n s ˈe ɾ,180,660,27.27
l a n ɡ i d e s ˈe ɾ,171,660,25.91
e n o ɾ ɡ u ʃ e s ˈe ɾ,158,660,23.94
s u b ʃ a s ˈe ɾ,113,660,17.12
d e s a s ˈi ɾ,53,440,12.05
