lemma,correct,total,accuracy
o f ɾ e s ˈe ɾ,660,660,100.0
d e d u s ˈi ɾ,660,660,100.0
a d o ɾ m e s ˈe ɾ,660,660,100.0
e m u n ç ˈe ɾ,660,660,100.0
p ɾ e b e n ˈi ɾ,660,660,100.0
s o s t e n ˈe ɾ,660,660,100.0
t ɾ a ˈe ɾ,660,660,100.0
d e s p a ɾ e s ˈe ɾ,660,660,100.0
ɾ e p o n ˈe ɾ,660,660,100.0
e m b e ʃ e s ˈe ɾ,660,660,100.0
s u ɾ s ˈi ɾ,660,660,100.0
i n t e ɾ b e n ˈi ɾ,660,660,100.0
k o p ɾ o d u s ˈi ɾ,660,660,100.0
d e s a s ˈe ɾ,220,220,100.0
a m a n e s ˈe ɾ,660,660,100.0
a b o r e s ˈe ɾ,660,660,100.0
a t a ɾ d e s ˈe ɾ,660,660,100.0
e n l u s ˈi ɾ,660,660,100.0
a n t e d e s ˈi ɾ,660,660,100.0
d e s a p a ɾ e s ˈe ɾ,660,660,100.0
e k i b a l ˈe ɾ,660,660,100.0
ɾ e d i ɾ i ç ˈi ɾ,660,660,100.0
e m p o b ɾ e s ˈe ɾ,660,660,100.0
a t e n ˈe ɾ,660,660,100.0
o p o n ˈe ɾ,660,660,100.0
e n l o k e s ˈe ɾ,660,660,100.0
e d u s ˈi ɾ,660,660,100.0
e n k a ʃ e s ˈe ɾ,660,660,100.0
d e b e n ˈi ɾ,660,660,100.0
t ɾ a s p o n ˈe ɾ,660,660,100.0
d e s b a n e s ˈe ɾ,660,660,100.0
ɾ e a p a ɾ e s ˈe ɾ,660,660,100.0
d e ɾ e l i n k ˈi ɾ,660,660,100.0
f u n ç ˈi ɾ,660,660,100.0
d i ɾ i ç ˈi ɾ,660,660,100.0
ɾ e d e s ˈi ɾ,660,660,100.0
e n b i l e s ˈe ɾ,659,660,99.85
a p o n ˈe ɾ,659,660,99.85
d e s o b e d e s ˈe ɾ,659,660,99.85
u ɾ ç ˈi ɾ,656,660,99.39
ɾ e t e n ˈe ɾ,645,660,97.73
e x e ɾ s ˈe ɾ,645,660,97.73
e k s t ɾ a ˈe ɾ,641,660,97.12
p ɾ e d e s ˈi ɾ,640,660,96.97
l a n ɡ i d e s ˈe ɾ,637,660,96.52
e s k o s ˈe ɾ,612,660,92.73
a p e t e s ˈe ɾ,596,660,90.3
f ɾ a n ç ˈi ɾ,594,660,90.0
d e s t o ɾ s ˈe ɾ,582,660,88.18
ɾ e a s ˈe ɾ,576,660,87.27
s u b s t ɾ a ˈe ɾ,572,660,86.67
ɾ e t ɾ o t ɾ a ˈe ɾ,559,660,84.7
e ɾ i ç ˈi ɾ,550,660,83.33
i n t e l i ç ˈi ɾ,550,660,83.33
e l i ç ˈi ɾ,550,660,83.33
ʃ u k s t a p o n ˈe ɾ,344,660,52.12
o b t e n ˈe ɾ,196,660,29.7
s o b ɾ e s a l ˈi ɾ,162,660,24.55
d e s a s ˈi ɾ,55,440,12.5
a d ʃ a s ˈe ɾ,0,660,0.0
