lemma,correct,total,accuracy
e n k a ɾ e s ˈe ɾ,562,660,85.15
e n f l a k e s ˈe ɾ,538,660,81.52
ɾ e a p a ɾ e s ˈe ɾ,523,660,79.24
a n o ʧ e s ˈe ɾ,511,660,77.42
e n t e ɾ n e s ˈe ɾ,506,660,76.67
a p a ɾ e s ˈe ɾ,501,660,75.91
b a l b u s ˈi ɾ,495,660,75.0
e n b e x e s ˈe ɾ,488,660,73.94
e n ɾ o x e s ˈe ɾ,484,660,73.33
a b o r e s ˈe ɾ,481,660,72.88
p ɾ o d u s ˈi ɾ,480,660,72.73
e s t a b l e s ˈe ɾ,466,660,70.61
k o m p a ɾ e s ˈe ɾ,464,660,70.3
e n o ɾ ɡ u ʃ e s ˈe ɾ,462,660,70.0
p ɾ e b a l e s ˈe ɾ,432,660,65.45
a s t ɾ i n ç ˈi ɾ,420,660,63.64
d e s k o m p o n ˈe ɾ,392,660,59.39
e k i b a l ˈe ɾ,388,660,58.79
f u l ç ˈi ɾ,380,660,57.58
d e p o n ˈe ɾ,368,660,55.76
a n t e d e s ˈi ɾ,367,660,55.61
d e s a s ˈe ɾ,364,660,55.15
e m b e ʃ e s ˈe ɾ,361,660,54.7
k o n t ɾ a a s ˈe ɾ,342,660,51.82
f ɾ a n ç ˈi ɾ,331,660,50.15
d i s t ɾ a ˈe ɾ,326,660,49.39
ɾ e b e n ˈi ɾ,324,660,49.09
t ɾ a ˈe ɾ,314,660,47.58
k a ˈe ɾ,281,660,42.58
ɾ e t o ɾ s ˈe ɾ,240,660,36.36
e m p o d ɾ e s ˈe ɾ,236,660,35.76
ɾ e b l a n d e s ˈe ɾ,104,660,15.76
e n m o e s ˈe ɾ,80,660,12.12
