lemma,correct,total,accuracy
t ɾ a s p o n ˈe ɾ,660,660,100.0
u n s ˈi ɾ,660,660,100.0
d e d u s ˈi ɾ,660,660,100.0
k o ç ˈe ɾ,660,660,100.0
e n b a n e s ˈe ɾ,660,660,100.0
p u n ç ˈi ɾ,660,660,100.0
i n d u s ˈi ɾ,660,660,100.0
e n a ɾ d e s ˈe ɾ,660,660,100.0
k o m p o n ˈe ɾ,660,660,100.0
ɾ e k o ç ˈe ɾ,660,660,100.0
ɾ e k o m p o n ˈe ɾ,660,660,100.0
d e s a p a ɾ e s ˈe ɾ,660,660,100.0
a f l i ç ˈi ɾ,660,660,100.0
p a l i d e s ˈe ɾ,660,660,100.0
ɾ e k ɾ u d e s ˈe ɾ,660,660,100.0
d e s p a ɾ e s ˈe ɾ,660,660,100.0
ɾ e t e n ˈe ɾ,660,660,100.0
b a l ˈe ɾ,660,660,100.0
p ɾ o p o n ˈe ɾ,660,660,100.0
a m a n e s ˈe ɾ,660,660,100.0
e m e ɾ ç ˈe ɾ,660,660,100.0
p a d e s ˈe ɾ,660,660,100.0
f u n ç ˈi ɾ,660,660,100.0
m u l ç ˈe ɾ,660,660,100.0
p ɾ o b e n ˈi ɾ,660,660,100.0
k o n t e n ˈe ɾ,660,660,100.0
a t a ɾ d e s ˈe ɾ,660,660,100.0
d e s l u s ˈi ɾ,660,660,100.0
l u s ˈi ɾ,660,660,100.0
e n f u ɾ e s ˈe ɾ,660,660,100.0
e n n e ɡ ɾ e s ˈe ɾ,659,660,99.85
e n ɾ i k e s ˈe ɾ,659,660,99.85
s i ɾ k u n b e n ˈi ɾ,657,660,99.55
s a l ˈi ɾ,656,660,99.39
e n s e ɡ e s ˈe ɾ,652,660,98.79
s o b ɾ e k o ç ˈe ɾ,652,660,98.79
ɾ e s t ɾ i n ç ˈi ɾ,652,660,98.79
m a l d e s ˈi ɾ,651,660,98.64
m u l s ˈe ɾ,648,660,98.18
d e s b a n e s ˈe ɾ,648,660,98.18
e n l u s ˈi ɾ,648,660,98.18
k o n o s ˈe ɾ,645,660,97.73
d e b e n ˈi ɾ,639,660,96.82
a s t ɾ i n ç ˈi ɾ,637,660,96.52
ɡ w a ɾ e s ˈe ɾ,624,660,94.55
d e s f a b o ɾ e s ˈe ɾ,617,660,93.48
ɾ e f u l ç ˈi ɾ,616,660,93.33
d e s a ɡ ɾ a d e s ˈe ɾ,613,660,92.88
a b s t ɾ a ˈe ɾ,605,660,91.67
k o l e ç ˈi ɾ,569,660,86.21
e l i ç ˈi ɾ,560,660,84.85
k o n t ɾ a d e s ˈi ɾ,525,660,79.55
d e s k o s ˈe ɾ,211,275,76.73
x a k ˈi ɾ,462,660,70.0
a b e n ˈi ɾ,422,660,63.94
e n m o e s ˈe ɾ,418,660,63.33
k o r e ç ˈi ɾ,405,660,61.36
a d ʃ a s ˈe ɾ,128,660,19.39
k o n b e n s ˈe ɾ,0,660,0.0
